,temperature,dew_point,humidity,wind_speed,pressure,precipitation,date
0,31.9,28.6,87.5,15.6,29.8,0.36,2021-02-01
1,34.1,28.3,80.2,15.6,29.6,0.17,2021-02-02
2,36.5,23.0,58.6,15.2,29.7,0.01,2021-02-03
3,38.7,14.9,39.6,7.4,29.9,0.0,2021-02-04
4,46.0,27.6,51.1,12.3,29.7,0.07,2021-02-05
5,42.7,23.2,47.6,7.9,30.0,0.0,2021-02-06
6,37.8,30.1,76.2,8.7,30.0,0.19,2021-02-07
7,31.1,12.5,46.8,8.3,30.4,0.3,2021-02-08
8,38.4,27.8,66.5,6.2,30.2,0.0,2021-02-09
9,36.1,30.3,80.8,6.0,30.3,0.0,2021-02-10
10,34.8,31.4,87.7,8.4,30.2,0.35,2021-02-11
11,31.0,20.5,65.4,7.9,30.3,0.02,2021-02-12
12,30.2,24.6,80.4,10.4,30.2,0.0,2021-02-13
13,32.8,28.8,85.4,8.0,30.2,0.45,2021-02-14
14,37.3,32.4,83.4,7.6,30.1,0.0,2021-02-15
15,37.9,33.4,85.5,7.3,29.8,0.97,2021-02-16
16,30.7,12.0,46.4,8.5,30.4,0.0,2021-02-17
17,29.3,24.6,83.4,9.7,30.3,0.09,2021-02-18
18,32.9,28.5,84.8,11.2,30.1,0.37,2021-02-19
19,29.8,11.5,47.1,14.5,30.3,0.04,2021-02-20
20,31.5,13.3,47.6,7.5,30.6,0.0,2021-02-21
21,34.5,29.6,83.0,8.9,30.0,0.0,2021-02-22
22,38.5,31.3,79.9,8.6,29.8,0.41,2021-02-23
23,47.2,31.8,58.3,8.2,30.0,0.0,2021-02-24
24,50.2,26.6,41.5,10.3,30.1,0.0,2021-02-25
25,43.0,28.1,59.5,7.8,30.4,0.0,2021-02-26
26,42.6,38.9,87.2,6.2,30.2,0.31,2021-02-27
27,46.0,43.9,92.7,3.4,30.1,0.12,2021-02-28
